指標,値
仮想取引数,46
OPEN件数,42
CLOSED件数,4
+10%到達件数,8
+10%到達率,17.4%
+20%到達件数,3
+20%到達率,6.5%
+30%到達件数,0
+30%到達率,0.0%
損切り到達件数,4
損切り到達率,8.7%
平均最大上昇率,4.80%
平均最大下落率,-4.67%
