trade_id,code,name,signal_date,entry_date,entry_price,signal_score,signal_rank,stop_price,target10,target20,target30,status,days_observed,max_high,min_low,max_gain_pct,max_drawdown_pct,hit_10,hit_20,hit_30,hit_stop,exit_date,exit_price,exit_reason,last_update
6778_20260828,6778,"Artiza Networks, Inc.",2026-08-28,2026-08-28,672.0,78,A,592.7,739.2,806.4,873.6,OPEN,10,685.0,605.0,1.93,-9.97,False,False,False,False,,,,2026-09-11
5033_20260828,5033,Nulab Inc.,2026-08-28,2026-08-28,953.0,75,B,805.28,1048.3,1143.6,1238.9,CLOSED,7,1255.0,933.0,31.69,-2.1,True,True,True,False,2026-09-08,1238.9,+30%,2026-09-08
4370_20260828,4370,Mobilus Corporation,2026-08-28,2026-08-28,393.0,73,B,293.18,432.3,471.6,510.9,OPEN,10,506.0,327.0,28.75,-16.79,True,True,False,False,,,,2026-09-11
6775_20260828,6775,TB Group Inc.,2026-08-28,2026-08-28,130.0,73,B,111.02,143.0,156.0,169.0,OPEN,10,136.0,122.0,4.62,-6.15,False,False,False,False,,,,2026-09-11
5129_20260828,5129,FIXER Inc.,2026-08-28,2026-08-28,342.0,67,C,227.09,376.2,410.4,444.6,OPEN,10,422.0,258.0,23.39,-24.56,True,True,False,False,,,,2026-09-11
3598_20260901,3598,"Yamaki Co.,Ltd.",2026-09-01,2026-09-01,167.0,82,A,157.98,183.7,200.4,217.1,OPEN,8,170.0,164.0,1.8,-1.8,False,False,False,False,,,,2026-09-11
6233_20260901,6233,KLASS Corporation,2026-09-01,2026-09-01,404.0,81,A,383.8,444.4,484.8,525.2,OPEN,8,409.0,396.0,1.24,-1.98,False,False,False,False,,,,2026-09-11
3750_20260901,3750,ADR Biomedical Holdings Inc.,2026-09-01,2026-09-01,848.0,79,A,758.96,932.8,1017.6,1102.4,OPEN,8,850.0,822.0,0.24,-3.07,False,False,False,False,,,,2026-09-11
8518_20260901,8518,"Japan Asia Investment Co., Ltd.",2026-09-01,2026-09-01,150.0,69,B,121.95,165.0,180.0,195.0,OPEN,8,157.0,148.0,4.67,-1.33,False,False,False,False,,,,2026-09-11
4598_20260901,4598,"Delta-Fly Pharma, Inc.",2026-09-01,2026-09-01,154.0,67,C,91.94,169.4,184.8,200.2,OPEN,8,159.0,106.0,3.25,-31.17,False,False,False,False,,,,2026-09-11
2894_20260902,2894,"Ishii Food Co., Ltd.",2026-09-02,2026-09-02,373.0,81,A,328.99,410.3,447.6,484.9,OPEN,7,374.0,359.0,0.27,-3.75,False,False,False,False,,,,2026-09-11
7162_20260902,7162,"ASTMAX Co., Ltd.",2026-09-02,2026-09-02,308.0,81,A,231.92,338.8,369.6,400.4,OPEN,7,328.0,288.0,6.49,-6.49,False,False,False,False,,,,2026-09-11
8247_20260902,8247,"Daiwa Co.,Ltd.",2026-09-02,2026-09-02,341.0,81,A,280.98,375.1,409.2,443.3,OPEN,7,341.0,316.0,0.0,-7.33,False,False,False,False,,,,2026-09-11
9466_20260902,9466,Aidma Marketing Communication Corporation,2026-09-02,2026-09-02,243.0,81,A,219.92,267.3,291.6,315.9,OPEN,7,249.0,236.0,2.47,-2.88,False,False,False,False,,,,2026-09-11
6538_20260902,6538,Disruptors Inc.,2026-09-02,2026-09-02,250.0,74,B,235.0,275.0,300.0,325.0,OPEN,7,256.0,244.0,2.4,-2.4,False,False,False,False,,,,2026-09-11
4750_20260902,4750,"Daisan Co., Ltd.",2026-09-02,2026-09-02,568.0,72,B,540.74,624.8,681.6,738.4,OPEN,7,571.0,549.0,0.53,-3.35,False,False,False,False,,,,2026-09-11
3143_20260907,3143,O'will Corporation,2026-09-07,2026-09-07,728.0,83,A,679.95,800.8,873.6,946.4,OPEN,4,741.0,708.0,1.79,-2.75,False,False,False,False,,,,2026-09-11
5252_20260907,5252,"Nihon Knowledge Co,Ltd.",2026-09-07,2026-09-07,800.0,81,A,716.8,880.0,960.0,1040.0,OPEN,4,895.0,800.0,11.87,0.0,True,False,False,False,,,,2026-09-11
