銘柄コード,銘柄名,株価,判定,出来高比率,出来高枯れ,出来高再増加,小実体,じわ切り上げ,日足代表価格上,MA5上,MA25上,MA75上,MA200上,全MA上,直近高値からの下落(%),損切り目安下幅(%),急騰期待スコア,優先ランク,スコア根拠,監視優先度
4059,不明,,👀 監視継続,0.1,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4060,不明,,👀 監視継続,0.19,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4068,不明,,👀 監視継続,0.23,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4069,不明,,👀 監視継続,0.7,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4073,不明,,👀 監視継続,0.09,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4074,不明,,👀 監視継続,0.09,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4076,不明,,👀 監視継続,0.07,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
407A,不明,,👀 監視継続,0.26,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4098,不明,,👀 監視継続,0.1,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
410A,不明,,👀 監視継続,0.06,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4120,不明,,👀 監視継続,0.12,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4124,不明,,👀 監視継続,0.36,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
415A,不明,,👀 監視継続,0.57,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4166,不明,,👀 監視継続,0.16,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4168,不明,,👀 監視継続,0.24,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4176,不明,,👀 監視継続,0.21,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4177,不明,,👀 監視継続,0.74,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4179,不明,,👀 監視継続,0.16,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4197,不明,,👀 監視継続,0.11,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4198,不明,,👀 監視継続,0.06,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4224,不明,,👀 監視継続,0.53,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4237,不明,,👀 監視継続,0.23,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4240,不明,,👀 監視継続,0.19,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4241,不明,,👀 監視継続,0.33,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4242,不明,,👀 監視継続,0.92,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4245,不明,,👀 監視継続,0.35,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4256,不明,,👀 監視継続,0.24,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4260,不明,,👀 監視継続,0.15,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4261,不明,,👀 監視継続,0.19,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4262,不明,,👀 監視継続,0.26,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4265,不明,,👀 監視継続,0.03,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4270,不明,,👀 監視継続,0.22,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4284,不明,,👀 監視継続,0.27,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4288,不明,,👀 監視継続,0.13,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4317,不明,,👀 監視継続,0.05,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4335,不明,,👀 監視継続,0.83,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4341,不明,,👀 監視継続,0.1,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4351,不明,,👀 監視継続,0.06,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4356,不明,,👀 監視継続,0.1,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4360,不明,,👀 監視継続,0.3,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4361,不明,,👀 監視継続,0.59,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4374,不明,,👀 監視継続,0.25,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4376,不明,,👀 監視継続,1.17,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4378,不明,,👀 監視継続,0.77,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4379,不明,,👀 監視継続,0.48,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4380,不明,,👀 監視継続,0.61,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4386,不明,,👀 監視継続,0.57,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4391,"Logizard Co., Ltd.",,👀 監視継続,0.36,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4397,TeamSpirit Inc.,,👀 監視継続,0.32,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4398,"BroadBand Security, Inc.",,👀 監視継続,0.86,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4415,"Broad Enterprise Co.,Ltd.",,👀 監視継続,0.5,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4416,True Data Inc.,,👀 監視継続,0.1,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
441A,NE Inc.,,👀 監視継続,0.55,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4422,VALUENEX Japan Inc.,,👀 監視継続,1.05,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4424,"Amazia,inc.",,👀 監視継続,0.14,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4427,"EduLab, Inc.",,👀 監視継続,0.33,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
442A,"Classico, Inc.",,👀 監視継続,0.03,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4436,"MINKABU THE INFONOID, Inc.",,👀 監視継続,0.19,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4437,"gooddays holdings, Inc.",,👀 監視継続,0.24,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4444,infoNet inc.,,👀 監視継続,0.26,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4450,"Power Solutions, Ltd.",,👀 監視継続,0.18,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4476,AI CROSS Inc.,,👀 監視継続,0.35,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4484,"Lancers, Inc.",,👀 監視継続,0.18,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4486,Unite and Grow Inc.,,👀 監視継続,0.24,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4487,"Spacemarket,Inc.",,👀 監視継続,0.09,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4488,AI inside Inc.,,👀 監視継続,0.26,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4490,VisasQ Inc.,,👀 監視継続,0.44,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4495,"i Cubed Systems, Inc.",,👀 監視継続,1.27,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4524,"Morishita Jintan Co., Ltd.",,👀 監視継続,0.4,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4558,"Chukyoiyakuhin Co.,Ltd.",,👀 監視継続,0.12,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4564,"OncoTherapy Science, Inc.",,👀 監視継続,1.79,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=2; shape=6; risk=0,低優先
4642,"Original Engineering Consultants Co., Ltd.",,👀 監視継続,0.17,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
4918,Ivy Cosmetics Corporation,,👀 監視継続,0.32,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
5134,"POPER Co.,Ltd.",,👀 監視継続,0.52,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
5900,"Daiken Co.,Ltd.",,👀 監視継続,0.18,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
7681,"LEOCLAN Co.,Ltd.",,👀 監視継続,0.42,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,12,D,stage=4; position=0; volume=8; shape=0; risk=0,低優先
2440,不明,,👀 監視継続,0.8,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
245A,不明,,👀 監視継続,0.4,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
2488,不明,,👀 監視継続,0.95,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
269A,不明,,👀 監視継続,0.83,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
2876,不明,,👀 監視継続,0.92,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
3686,不明,,👀 監視継続,0.95,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
3750,不明,,👀 監視継続,0.79,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
3895,不明,,👀 監視継続,1.24,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
4196,不明,,👀 監視継続,1.32,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
4234,不明,,👀 監視継続,1.14,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
4445,Living Technologies Inc.,,👀 監視継続,0.55,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,,,10,D,stage=4; position=0; volume=0; shape=6; risk=0,低優先
211A,不明,,👀 監視継続,2.39,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
2138,不明,,👀 監視継続,1.51,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
2293,不明,,👀 監視継続,2.04,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
2425,不明,,👀 監視継続,1.58,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
2436,不明,,👀 監視継続,1.74,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
265A,不明,,👀 監視継続,1.62,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
2762,不明,,👀 監視継続,2.16,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
302A,不明,,👀 監視継続,2.24,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
3238,不明,,👀 監視継続,1.82,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
3293,不明,,👀 監視継続,2.08,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
3958,不明,,👀 監視継続,1.51,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
4100,不明,,👀 監視継続,1.7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
4243,不明,,👀 監視継続,2.25,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
4264,不明,,👀 監視継続,2.34,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,6,D,stage=4; position=0; volume=2; shape=0; risk=0,低優先
1447,不明,,👀 監視継続,0.21,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
175A,不明,,👀 監視継続,0.13,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
1844,不明,,👀 監視継続,0.51,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
1897,不明,,👀 監視継続,0.25,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
1994,不明,,👀 監視継続,0.61,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
205A,不明,,👀 監視継続,1.17,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2183,不明,,👀 監視継続,0.52,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2186,不明,,👀 監視継続,0.59,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
220A,不明,,👀 監視継続,0.8,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2215,不明,,👀 監視継続,0.7,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2303,不明,,👀 監視継続,0.72,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2338,不明,,👀 監視継続,0.5,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2391,不明,,👀 監視継続,0.52,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2438,不明,,👀 監視継続,0.81,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2449,不明,,👀 監視継続,0.55,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2464,不明,,👀 監視継続,1.49,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2483,不明,,👀 監視継続,1.32,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2499,不明,,👀 監視継続,0.49,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2654,不明,,👀 監視継続,0.67,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2666,不明,,👀 監視継続,0.78,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2735,不明,,👀 監視継続,1.17,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2788,不明,,👀 監視継続,0.83,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2798,不明,,👀 監視継続,0.52,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2872,不明,,👀 監視継続,0.53,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2916,不明,,👀 監視継続,0.62,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
2917,不明,,👀 監視継続,1.07,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3065,不明,,👀 監視継続,0.4,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3067,不明,,👀 監視継続,0.72,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3069,不明,,👀 監視継続,0.69,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3071,不明,,👀 監視継続,1.22,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3121,不明,,👀 監視継続,0.77,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3134,不明,,👀 監視継続,0.6,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3143,不明,,👀 監視継続,0.39,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3173,不明,,👀 監視継続,0.56,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3177,不明,,👀 監視継続,0.14,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3280,不明,,👀 監視継続,0.39,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3320,不明,,👀 監視継続,0.57,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3422,不明,,👀 監視継続,0.95,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3461,不明,,👀 監視継続,0.58,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3474,不明,,👀 監視継続,1.19,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3477,"FORLIFE Co., Ltd.",,👀 監視継続,0.88,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3560,不明,,👀 監視継続,0.52,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3566,不明,,👀 監視継続,0.51,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3571,不明,,👀 監視継続,0.27,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3577,不明,,👀 監視継続,1.23,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3598,不明,,👀 監視継続,0.59,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3607,不明,,👀 監視継続,0.72,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3641,不明,,👀 監視継続,0.22,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3652,不明,,👀 監視継続,0.64,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3682,不明,,👀 監視継続,0.6,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3690,不明,,👀 監視継続,0.97,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3695,不明,,👀 監視継続,1.09,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3796,不明,,👀 監視継続,0.55,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3816,不明,,👀 監視継続,0.97,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3839,不明,,👀 監視継続,1.09,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
3878,不明,,👀 監視継続,1.18,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4040,不明,,👀 監視継続,0.71,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4057,不明,,👀 監視継続,0.77,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4119,不明,,👀 監視継続,0.08,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
416A,不明,,👀 監視継続,1.36,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4172,不明,,👀 監視継続,0.36,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4178,不明,,👀 監視継続,0.53,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
